,Start of Week,CO2 molfrac (ppm),Month + Year
1,1967-07-07 00:00:00,325.28,1967-07
2,1967-07-07 00:00:00,325.11,1967-07
3,1967-07-07 00:00:00,324.14,1967-07
4,1967-07-07 00:00:00,324.6,1967-07
5,1967-07-07 00:00:00,324.48,1967-07
6,1967-07-07 00:00:00,325.11,1967-07
7,1967-07-07 00:00:00,324.48,1967-07
9,1967-07-07 00:00:00,324.54,1967-07
10,1967-07-07 00:00:00,324.37,1967-07
11,1967-07-07 00:00:00,324.48,1967-07
12,1967-07-07 00:00:00,325.88,1967-07
13,1967-07-07 00:00:00,322.81,1967-07
14,1967-07-07 00:00:00,322.45,1967-07
15,1967-07-07 00:00:00,322.24,1967-07
16,1967-07-07 00:00:00,324.7,1967-07
18,1967-07-14 00:00:00,320.75,1967-07
19,1967-07-14 00:00:00,320.15,1967-07
23,1968-01-16 00:00:00,322.61,1968-01
24,1968-01-16 00:00:00,327.31,1968-01
25,1968-01-16 00:00:00,322.36,1968-01
26,1968-01-16 00:00:00,322.42,1968-01
27,1968-01-16 00:00:00,322.65,1968-01
28,1968-01-16 00:00:00,322.46,1968-01
29,1968-01-16 00:00:00,322.56,1968-01
30,1968-01-16 00:00:00,322.58,1968-01
31,1968-01-16 00:00:00,322.49,1968-01
32,1968-01-16 00:00:00,323.07,1968-01
33,1968-01-16 00:00:00,322.79,1968-01
34,1968-01-16 00:00:00,322.88,1968-01
35,1968-01-16 00:00:00,324.38,1968-01
36,1968-01-17 00:00:00,323.2,1968-01
37,1968-01-17 00:00:00,323.32,1968-01
38,1968-01-17 00:00:00,324.27,1968-01
40,1968-01-17 00:00:00,323.37,1968-01
41,1968-01-17 00:00:00,323.05,1968-01
42,1968-01-17 00:00:00,323.11,1968-01
43,1968-01-17 00:00:00,322.94,1968-01
44,1968-01-17 00:00:00,323.12,1968-01
45,1968-01-17 00:00:00,323.05,1968-01
46,1968-01-17 00:00:00,322.95,1968-01
47,1968-01-17 00:00:00,323.19,1968-01
48,1968-01-17 00:00:00,323.12,1968-01
49,1968-01-17 00:00:00,322.89,1968-01
50,1968-01-17 00:00:00,326.78,1968-01
51,1968-01-17 00:00:00,323.32,1968-01
52,1968-01-17 00:00:00,322.79,1968-01
53,1968-01-17 00:00:00,322.58,1968-01
54,1968-01-17 00:00:00,322.47,1968-01
55,1968-01-17 00:00:00,322.31,1968-01
56,1968-01-17 00:00:00,322.61,1968-01
57,1968-01-17 00:00:00,322.68,1968-01
58,1968-01-17 00:00:00,322.91,1968-01
59,1968-01-17 00:00:00,322.52,1968-01
60,1968-01-17 00:00:00,323.07,1968-01
61,1968-01-17 00:00:00,323.57,1968-01
62,1968-01-17 00:00:00,322.89,1968-01
64,1968-01-17 00:00:00,323.12,1968-01
65,1968-01-17 00:00:00,322.65,1968-01
66,1968-01-17 00:00:00,322.6,1968-01
69,1968-01-17 00:00:00,322.88,1968-01
70,1968-01-17 00:00:00,323.52,1968-01
72,1968-01-17 00:00:00,323.21,1968-01
73,1968-01-17 00:00:00,323.22,1968-01
75,1968-01-17 00:00:00,322.66,1968-01
76,1968-01-17 00:00:00,322.61,1968-01
77,1968-01-17 00:00:00,323.63,1968-01
78,1968-01-17 00:00:00,323.37,1968-01
79,1968-01-17 00:00:00,323.13,1968-01
80,1968-01-17 00:00:00,323.38,1968-01
81,1968-01-17 00:00:00,323.07,1968-01
83,1968-01-17 00:00:00,323.14,1968-01
84,1968-01-17 00:00:00,323.21,1968-01
85,1968-01-17 00:00:00,323.61,1968-01
86,1968-01-17 00:00:00,323.41,1968-01
87,1968-01-17 00:00:00,324.38,1968-01
88,1968-01-17 00:00:00,323.41,1968-01
89,1968-01-17 00:00:00,323.41,1968-01
90,1968-01-17 00:00:00,323.19,1968-01
92,1968-01-17 00:00:00,325.16,1968-01
93,1968-01-17 00:00:00,323.13,1968-01
94,1968-01-17 00:00:00,323.32,1968-01
95,1968-01-17 00:00:00,323.85,1968-01
96,1968-01-17 00:00:00,323.69,1968-01
100,1968-02-29 00:00:00,325.53,1968-02
102,1968-03-07 00:00:00,326.49,1968-03
103,1968-03-14 00:00:00,326.09,1968-03
104,1968-03-14 00:00:00,326.07,1968-03
105,1968-03-22 00:00:00,325.98,1968-03
106,1968-03-22 00:00:00,327.77,1968-03
107,1968-03-28 00:00:00,326.26,1968-03
108,1968-03-28 00:00:00,326.19,1968-03
111,1968-04-11 00:00:00,326.75,1968-04
112,1968-04-11 00:00:00,326.09,1968-04
115,1968-04-30 00:00:00,326.65,1968-04
118,1968-05-14 00:00:00,326.16,1968-05
119,1968-05-14 00:00:00,326.52,1968-05
120,1968-05-21 00:00:00,327.41,1968-05
121,1968-05-21 00:00:00,326.33,1968-05
123,1968-05-28 00:00:00,326.47,1968-05
124,1968-06-06 00:00:00,327.63,1968-06
125,1968-06-06 00:00:00,323.94,1968-06
126,1968-06-13 00:00:00,325.25,1968-06
127,1968-06-13 00:00:00,324.7,1968-06
128,1968-06-20 00:00:00,325.62,1968-06
129,1968-06-20 00:00:00,325.89,1968-06
130,1968-07-03 00:00:00,320.33,1968-07
131,1968-07-03 00:00:00,322.29,1968-07
132,1968-07-24 00:00:00,324.48,1968-07
133,1968-07-31 00:00:00,321.11,1968-07
134,1968-07-31 00:00:00,321.52,1968-07
135,1968-08-07 00:00:00,318.2,1968-08
136,1968-08-07 00:00:00,314.63,1968-08
137,1968-08-14 00:00:00,322.69,1968-08
138,1968-08-14 00:00:00,322.66,1968-08
139,1968-09-13 00:00:00,320.55,1968-09
140,1968-09-13 00:00:00,321.84,1968-09
141,1968-09-19 00:00:00,320.93,1968-09
143,1968-10-03 00:00:00,320.09,1968-10
144,1968-10-03 00:00:00,320.57,1968-10
145,1968-10-17 00:00:00,324.28,1968-10
146,1968-10-17 00:00:00,325.84,1968-10
150,1968-11-07 00:00:00,322.49,1968-11
151,1968-11-14 00:00:00,326.78,1968-11
152,1968-11-14 00:00:00,326.39,1968-11
153,1968-11-26 00:00:00,323.76,1968-11
154,1968-11-26 00:00:00,324.15,1968-11
155,1968-12-03 00:00:00,325.26,1968-12
156,1968-12-03 00:00:00,327.02,1968-12
157,1968-12-10 00:00:00,324.6,1968-12
158,1968-12-10 00:00:00,323.47,1968-12
159,1968-12-17 00:00:00,324.48,1968-12
160,1968-12-17 00:00:00,324.48,1968-12
161,1968-12-23 00:00:00,323.7,1968-12
162,1968-12-23 00:00:00,323.78,1968-12
163,1969-01-01 00:00:00,324.6,1969-01
164,1969-01-01 00:00:00,323.24,1969-01
165,1969-01-07 00:00:00,323.27,1969-01
166,1969-01-07 00:00:00,324.31,1969-01
167,1969-01-14 00:00:00,323.56,1969-01
168,1969-01-14 00:00:00,325.05,1969-01
169,1969-01-21 00:00:00,325.94,1969-01
170,1969-01-21 00:00:00,325.46,1969-01
171,1969-01-27 00:00:00,325.56,1969-01
172,1969-01-27 00:00:00,325.66,1969-01
173,1969-02-05 00:00:00,325.11,1969-02
174,1969-02-05 00:00:00,324.73,1969-02
175,1969-02-12 00:00:00,324.79,1969-02
176,1969-02-12 00:00:00,324.92,1969-02
177,1969-02-19 00:00:00,338.49,1969-02
178,1969-02-19 00:00:00,329.82,1969-02
179,1969-02-25 00:00:00,325.6,1969-02
180,1969-03-05 00:00:00,329.06,1969-03
181,1969-03-05 00:00:00,330.02,1969-03
182,1969-03-12 00:00:00,328.68,1969-03
183,1969-03-12 00:00:00,327.93,1969-03
184,1969-03-20 00:00:00,328.13,1969-03
185,1969-03-20 00:00:00,330.26,1969-03
186,1969-03-26 00:00:00,329.85,1969-03
187,1969-03-26 00:00:00,330.1,1969-03
188,1969-04-03 00:00:00,327.76,1969-04
189,1969-04-03 00:00:00,327.79,1969-04
190,1969-04-09 00:00:00,329.32,1969-04
191,1969-04-09 00:00:00,334.18,1969-04
192,1969-04-16 00:00:00,332.35,1969-04
193,1969-04-16 00:00:00,331.41,1969-04
194,1969-04-23 00:00:00,327.83,1969-04
195,1969-04-23 00:00:00,327.36,1969-04
196,1969-04-30 00:00:00,328.03,1969-04
197,1969-04-30 00:00:00,327.7,1969-04
198,1969-05-07 00:00:00,328.15,1969-05
199,1969-05-14 00:00:00,327.5,1969-05
200,1969-05-14 00:00:00,327.06,1969-05
201,1969-05-21 00:00:00,329.42,1969-05
202,1969-05-21 00:00:00,328.86,1969-05
203,1969-06-04 00:00:00,323.01,1969-06
207,1969-07-02 00:00:00,325.27,1969-07
208,1969-07-02 00:00:00,325.27,1969-07
209,1969-07-10 00:00:00,322.87,1969-07
210,1969-07-10 00:00:00,323.26,1969-07
211,1969-07-16 00:00:00,320.25,1969-07
212,1969-07-16 00:00:00,320.82,1969-07
213,1969-07-23 00:00:00,318.65,1969-07
214,1969-08-01 00:00:00,318.71,1969-08
215,1969-08-01 00:00:00,320.99,1969-08
216,1969-08-06 00:00:00,323.31,1969-08
217,1969-08-06 00:00:00,322.82,1969-08
218,1969-08-20 00:00:00,320.16,1969-08
219,1969-08-20 00:00:00,321.63,1969-08
220,1969-08-27 00:00:00,323.27,1969-08
221,1969-08-27 00:00:00,323.73,1969-08
222,1969-09-03 00:00:00,317.88,1969-09
223,1969-09-03 00:00:00,317.62,1969-09
224,1969-09-09 00:00:00,321.17,1969-09
225,1969-09-09 00:00:00,320.86,1969-09
226,1969-09-17 00:00:00,321.5,1969-09
227,1969-09-17 00:00:00,321.49,1969-09
228,1969-09-24 00:00:00,321.65,1969-09
229,1969-09-24 00:00:00,321.45,1969-09
230,1969-10-01 00:00:00,320.88,1969-10
231,1969-10-01 00:00:00,320.71,1969-10
232,1969-10-08 00:00:00,320.97,1969-10
233,1969-10-08 00:00:00,320.61,1969-10
234,1969-10-16 00:00:00,330.16,1969-10
235,1969-10-16 00:00:00,328.81,1969-10
236,1969-10-22 00:00:00,324.08,1969-10
237,1969-10-22 00:00:00,323.37,1969-10
238,1969-10-28 00:00:00,323.54,1969-10
239,1969-10-28 00:00:00,323.33,1969-10
240,1969-11-05 00:00:00,322.08,1969-11
241,1969-11-05 00:00:00,322.14,1969-11
242,1969-11-12 00:00:00,326.6,1969-11
243,1969-11-12 00:00:00,324.61,1969-11
244,1969-11-19 00:00:00,323.64,1969-11
245,1969-11-19 00:00:00,324.13,1969-11
246,1969-11-26 00:00:00,324.73,1969-11
247,1969-11-26 00:00:00,324.48,1969-11
248,1969-12-03 00:00:00,324.12,1969-12
249,1969-12-03 00:00:00,324.0,1969-12
250,1969-12-14 00:00:00,324.36,1969-12
251,1969-12-14 00:00:00,324.97,1969-12
252,1969-12-17 00:00:00,345.6,1969-12
253,1969-12-17 00:00:00,323.2,1969-12
254,1969-12-24 00:00:00,326.33,1969-12
255,1969-12-24 00:00:00,327.87,1969-12
256,1969-12-30 00:00:00,328.06,1969-12
257,1969-12-30 00:00:00,328.04,1969-12
258,1970-01-08 00:00:00,326.55,1970-01
259,1970-01-08 00:00:00,327.29,1970-01
260,1970-01-15 00:00:00,326.95,1970-01
261,1970-01-15 00:00:00,326.19,1970-01
262,1970-01-23 00:00:00,328.88,1970-01
263,1970-01-23 00:00:00,329.11,1970-01
264,1970-01-30 00:00:00,327.31,1970-01
265,1970-01-30 00:00:00,326.63,1970-01
266,1970-02-04 00:00:00,327.01,1970-02
267,1970-02-04 00:00:00,328.87,1970-02
268,1970-02-11 00:00:00,326.4,1970-02
269,1970-02-11 00:00:00,326.17,1970-02
270,1970-02-20 00:00:00,327.95,1970-02
271,1970-02-20 00:00:00,327.87,1970-02
272,1970-02-25 00:00:00,327.81,1970-02
273,1970-02-25 00:00:00,327.8,1970-02
274,1970-03-04 00:00:00,327.56,1970-03
275,1970-03-04 00:00:00,327.42,1970-03
276,1970-03-12 00:00:00,330.22,1970-03
277,1970-03-12 00:00:00,329.9,1970-03
278,1970-03-19 00:00:00,330.28,1970-03
279,1970-03-19 00:00:00,330.62,1970-03
280,1970-04-04 00:00:00,329.33,1970-04
281,1970-04-04 00:00:00,329.13,1970-04
282,1970-04-09 00:00:00,330.06,1970-04
283,1970-04-09 00:00:00,329.84,1970-04
284,1970-04-29 00:00:00,332.09,1970-04
285,1970-04-29 00:00:00,332.45,1970-04
286,1970-05-07 00:00:00,330.89,1970-05
287,1970-05-07 00:00:00,330.78,1970-05
288,1970-05-15 00:00:00,330.25,1970-05
289,1970-05-15 00:00:00,330.51,1970-05
290,1970-05-20 00:00:00,328.52,1970-05
291,1970-05-20 00:00:00,328.63,1970-05
292,1970-05-22 00:00:00,329.85,1970-05
293,1970-05-22 00:00:00,330.25,1970-05
294,1970-05-22 00:00:00,329.68,1970-05
295,1970-05-22 00:00:00,330.13,1970-05
296,1970-05-27 00:00:00,328.95,1970-05
297,1970-05-27 00:00:00,326.53,1970-05
298,1970-06-03 00:00:00,324.68,1970-06
299,1970-06-03 00:00:00,323.31,1970-06
300,1970-06-10 00:00:00,325.48,1970-06
301,1970-06-10 00:00:00,324.48,1970-06
302,1970-06-17 00:00:00,330.57,1970-06
303,1970-06-17 00:00:00,326.1,1970-06
304,1970-06-24 00:00:00,325.76,1970-06
305,1970-06-24 00:00:00,325.52,1970-06
306,1970-07-01 00:00:00,325.0,1970-07
307,1970-07-01 00:00:00,325.88,1970-07
308,1970-07-13 00:00:00,321.57,1970-07
309,1970-07-13 00:00:00,322.08,1970-07
310,1970-07-16 00:00:00,320.96,1970-07
311,1970-07-16 00:00:00,321.38,1970-07
312,1970-07-23 00:00:00,322.61,1970-07
313,1970-07-23 00:00:00,322.2,1970-07
314,1970-07-31 00:00:00,319.73,1970-07
315,1970-07-31 00:00:00,318.85,1970-07
316,1970-08-07 00:00:00,325.59,1970-08
317,1970-08-07 00:00:00,324.59,1970-08
318,1970-08-14 00:00:00,324.27,1970-08
319,1970-08-14 00:00:00,324.27,1970-08
320,1970-08-20 00:00:00,326.16,1970-08
321,1970-08-20 00:00:00,325.95,1970-08
322,1970-08-26 00:00:00,327.48,1970-08
323,1970-08-26 00:00:00,330.58,1970-08
324,1970-09-01 00:00:00,326.7,1970-09
325,1970-09-01 00:00:00,323.14,1970-09
326,1970-09-09 00:00:00,321.72,1970-09
327,1970-09-09 00:00:00,322.92,1970-09
328,1970-09-16 00:00:00,323.4,1970-09
329,1970-09-16 00:00:00,323.68,1970-09
330,1970-09-24 00:00:00,324.85,1970-09
331,1970-09-24 00:00:00,325.1,1970-09
332,1970-09-30 00:00:00,330.19,1970-09
333,1970-09-30 00:00:00,326.72,1970-09
334,1970-10-07 00:00:00,327.13,1970-10
335,1970-10-12 00:00:00,323.24,1970-10
336,1970-10-12 00:00:00,323.11,1970-10
337,1970-10-19 00:00:00,323.79,1970-10
338,1970-10-19 00:00:00,324.48,1970-10
339,1970-10-28 00:00:00,326.08,1970-10
340,1970-10-28 00:00:00,326.13,1970-10
341,1970-11-04 00:00:00,329.44,1970-11
342,1970-11-11 00:00:00,328.58,1970-11
343,1970-11-11 00:00:00,346.49,1970-11
344,1970-11-18 00:00:00,326.66,1970-11
345,1970-11-18 00:00:00,326.1,1970-11
346,1970-11-25 00:00:00,325.49,1970-11
347,1970-11-25 00:00:00,325.47,1970-11
348,1970-12-02 00:00:00,325.74,1970-12
349,1970-12-02 00:00:00,325.54,1970-12
350,1970-12-09 00:00:00,326.08,1970-12
351,1970-12-09 00:00:00,326.41,1970-12
352,1970-12-17 00:00:00,328.21,1970-12
353,1970-12-17 00:00:00,330.44,1970-12
354,1970-12-22 00:00:00,329.69,1970-12
355,1970-12-22 00:00:00,332.13,1970-12
356,1971-01-06 00:00:00,329.19,1971-01
357,1971-01-06 00:00:00,328.91,1971-01
358,1971-01-14 00:00:00,328.46,1971-01
359,1971-01-14 00:00:00,329.76,1971-01
360,1971-01-19 00:00:00,329.64,1971-01
361,1971-01-19 00:00:00,330.44,1971-01
362,1971-01-28 00:00:00,328.54,1971-01
363,1971-01-28 00:00:00,327.37,1971-01
364,1971-02-02 00:00:00,326.78,1971-02
365,1971-02-02 00:00:00,326.97,1971-02
366,1971-02-09 00:00:00,331.2,1971-02
367,1971-02-09 00:00:00,329.43,1971-02
368,1971-02-17 00:00:00,335.77,1971-02
369,1971-02-17 00:00:00,337.6,1971-02
370,1971-02-25 00:00:00,328.95,1971-02
371,1971-02-25 00:00:00,330.02,1971-02
372,1971-03-04 00:00:00,329.65,1971-03
373,1971-03-11 00:00:00,329.44,1971-03
374,1971-03-11 00:00:00,329.33,1971-03
376,1971-03-17 00:00:00,353.64,1971-03
377,1971-03-26 00:00:00,343.79,1971-03
379,1971-03-30 00:00:00,362.13,1971-03
380,1971-03-30 00:00:00,358.58,1971-03
381,1971-04-06 00:00:00,334.33,1971-04
382,1971-04-06 00:00:00,332.14,1971-04
383,1971-04-14 00:00:00,329.95,1971-04
384,1971-04-14 00:00:00,330.43,1971-04
385,1971-05-08 00:00:00,330.88,1971-05
386,1971-05-08 00:00:00,332.02,1971-05
387,1971-05-20 00:00:00,329.65,1971-05
388,1971-05-20 00:00:00,328.38,1971-05
389,1971-05-29 00:00:00,331.24,1971-05
390,1971-06-07 00:00:00,326.68,1971-06
391,1971-06-07 00:00:00,326.77,1971-06
392,1971-06-10 00:00:00,331.71,1971-06
393,1971-06-10 00:00:00,329.77,1971-06
394,1971-06-18 00:00:00,339.76,1971-06
395,1971-06-18 00:00:00,339.67,1971-06
396,1971-06-25 00:00:00,322.04,1971-06
397,1971-06-25 00:00:00,322.61,1971-06
398,1971-07-08 00:00:00,326.77,1971-07
399,1971-07-08 00:00:00,335.67,1971-07
402,1971-07-23 00:00:00,334.02,1971-07
403,1971-07-23 00:00:00,327.68,1971-07
404,1971-07-30 00:00:00,316.72,1971-07
405,1971-07-30 00:00:00,316.88,1971-07
406,1971-08-06 00:00:00,325.64,1971-08
407,1971-08-14 00:00:00,328.33,1971-08
408,1971-08-14 00:00:00,332.55,1971-08
409,1971-08-21 00:00:00,323.76,1971-08
410,1971-08-21 00:00:00,324.0,1971-08
411,1971-08-27 00:00:00,325.56,1971-08
412,1971-08-27 00:00:00,324.48,1971-08
413,1971-09-03 00:00:00,345.63,1971-09
414,1971-09-03 00:00:00,348.38,1971-09
415,1971-09-10 00:00:00,343.24,1971-09
416,1971-09-10 00:00:00,323.33,1971-09
417,1971-09-23 00:00:00,320.44,1971-09
418,1971-09-23 00:00:00,337.81,1971-09
419,1971-10-03 00:00:00,321.19,1971-10
420,1971-10-03 00:00:00,318.02,1971-10
421,1971-10-25 00:00:00,320.23,1971-10
422,1971-10-25 00:00:00,320.25,1971-10
423,1971-11-04 00:00:00,325.56,1971-11
424,1971-11-04 00:00:00,325.05,1971-11
425,1971-11-24 00:00:00,326.51,1971-11
426,1971-11-24 00:00:00,326.12,1971-11
427,1971-12-06 00:00:00,342.43,1971-12
428,1971-12-06 00:00:00,329.94,1971-12
429,1971-12-17 00:00:00,325.73,1971-12
430,1971-12-17 00:00:00,325.88,1971-12
431,1971-12-24 00:00:00,326.65,1971-12
432,1971-12-24 00:00:00,326.69,1971-12
433,1972-01-07 00:00:00,326.2,1972-01
434,1972-01-07 00:00:00,326.51,1972-01
435,1972-01-18 00:00:00,327.7,1972-01
436,1972-01-18 00:00:00,327.64,1972-01
438,1972-01-27 00:00:00,328.36,1972-01
439,1972-02-04 00:00:00,329.89,1972-02
440,1972-02-04 00:00:00,331.14,1972-02
441,1972-02-18 00:00:00,329.32,1972-02
442,1972-02-18 00:00:00,328.82,1972-02
443,1972-02-21 00:00:00,330.69,1972-02
444,1972-02-21 00:00:00,331.76,1972-02
445,1972-02-29 00:00:00,328.77,1972-02
446,1972-02-29 00:00:00,329.22,1972-02
447,1972-03-09 00:00:00,328.21,1972-03
448,1972-03-09 00:00:00,329.84,1972-03
449,1972-03-18 00:00:00,329.2,1972-03
450,1972-03-18 00:00:00,328.81,1972-03
452,1972-03-31 00:00:00,331.94,1972-03
453,1972-04-10 00:00:00,332.65,1972-04
454,1972-04-10 00:00:00,334.28,1972-04
455,1972-04-16 00:00:00,330.25,1972-04
456,1972-04-16 00:00:00,330.19,1972-04
457,1972-04-23 00:00:00,330.89,1972-04
458,1972-04-23 00:00:00,330.63,1972-04
459,1972-05-05 00:00:00,330.89,1972-05
460,1972-05-05 00:00:00,330.88,1972-05
461,1972-06-11 00:00:00,325.1,1972-06
462,1972-06-11 00:00:00,324.12,1972-06
463,1972-06-18 00:00:00,323.8,1972-06
464,1972-06-18 00:00:00,323.86,1972-06
465,1972-06-30 00:00:00,319.1,1972-06
466,1972-06-30 00:00:00,319.34,1972-06
467,1972-07-08 00:00:00,320.51,1972-07
468,1972-07-08 00:00:00,320.77,1972-07
469,1972-07-14 00:00:00,325.18,1972-07
470,1972-07-14 00:00:00,324.29,1972-07
471,1972-07-28 00:00:00,326.64,1972-07
472,1972-07-28 00:00:00,324.48,1972-07
473,1972-08-14 00:00:00,327.82,1972-08
474,1972-08-14 00:00:00,326.97,1972-08
475,1972-10-02 00:00:00,329.72,1972-10
477,1972-10-02 00:00:00,326.92,1972-10
478,1972-10-09 00:00:00,334.61,1972-10
480,1972-10-09 00:00:00,328.78,1972-10
481,1972-10-16 00:00:00,325.01,1972-10
482,1972-10-16 00:00:00,325.65,1972-10
483,1972-10-25 00:00:00,326.92,1972-10
484,1972-10-25 00:00:00,327.04,1972-10
485,1972-11-10 00:00:00,347.33,1972-11
486,1972-11-10 00:00:00,334.63,1972-11
487,1972-12-02 00:00:00,330.93,1972-12
488,1972-12-02 00:00:00,331.94,1972-12
489,1972-12-08 00:00:00,337.59,1972-12
490,1972-12-08 00:00:00,337.71,1972-12
491,1972-12-13 00:00:00,331.72,1972-12
492,1972-12-13 00:00:00,331.3,1972-12
493,1972-12-20 00:00:00,330.96,1972-12
494,1972-12-20 00:00:00,341.39,1972-12
495,1972-12-27 00:00:00,347.74,1972-12
496,1972-12-27 00:00:00,340.0,1972-12
497,1973-01-04 00:00:00,339.22,1973-01
498,1973-01-04 00:00:00,337.52,1973-01
499,1973-01-24 00:00:00,334.69,1973-01
500,1973-01-24 00:00:00,383.54,1973-01
501,1973-02-07 00:00:00,331.71,1973-02
502,1973-02-09 00:00:00,330.88,1973-02
503,1973-02-09 00:00:00,331.58,1973-02
504,1973-02-09 00:00:00,330.69,1973-02
505,1973-02-14 00:00:00,332.02,1973-02
506,1973-02-14 00:00:00,331.28,1973-02
507,1973-02-16 00:00:00,332.2,1973-02
508,1973-02-16 00:00:00,331.56,1973-02
509,1973-02-28 00:00:00,335.81,1973-02
510,1973-02-28 00:00:00,367.43,1973-02
511,1973-04-01 00:00:00,347.49,1973-04
512,1973-04-01 00:00:00,348.75,1973-04
513,1973-04-23 00:00:00,343.23,1973-04
514,1973-04-23 00:00:00,342.81,1973-04
515,1973-04-28 00:00:00,333.04,1973-04
516,1973-04-28 00:00:00,332.67,1973-04
517,1973-05-04 00:00:00,334.04,1973-05
518,1973-05-04 00:00:00,334.43,1973-05
519,1973-05-11 00:00:00,338.85,1973-05
520,1973-05-11 00:00:00,334.35,1973-05
521,1973-05-16 00:00:00,340.22,1973-05
523,1973-05-31 00:00:00,387.64,1973-05
524,1973-05-31 00:00:00,382.61,1973-05
525,1973-06-09 00:00:00,331.94,1973-06
526,1973-06-09 00:00:00,331.82,1973-06
528,1973-06-19 00:00:00,342.97,1973-06
529,1973-07-03 00:00:00,329.97,1973-07
530,1973-07-03 00:00:00,384.33,1973-07
531,1973-07-07 00:00:00,329.2,1973-07
532,1973-07-17 00:00:00,330.11,1973-07
533,1973-07-18 00:00:00,325.55,1973-07
534,1973-07-18 00:00:00,327.58,1973-07
535,1973-07-27 00:00:00,354.39,1973-07
536,1973-07-27 00:00:00,325.42,1973-07
537,1973-08-20 00:00:00,330.79,1973-08
538,1973-08-20 00:00:00,329.32,1973-08
539,1973-08-24 00:00:00,327.14,1973-08
540,1973-08-24 00:00:00,326.59,1973-08
541,1973-08-31 00:00:00,325.71,1973-08
542,1973-08-31 00:00:00,325.62,1973-08
543,1973-09-13 00:00:00,326.6,1973-09
544,1973-09-13 00:00:00,327.07,1973-09
545,1973-10-02 00:00:00,334.85,1973-10
546,1973-10-02 00:00:00,327.59,1973-10
547,1973-10-23 00:00:00,329.31,1973-10
548,1973-10-23 00:00:00,327.78,1973-10
549,1973-10-23 00:00:00,327.78,1973-10
550,1973-11-02 00:00:00,337.3,1973-11
551,1973-11-02 00:00:00,337.36,1973-11
552,1973-11-09 00:00:00,327.47,1973-11
553,1973-11-09 00:00:00,328.31,1973-11
554,1973-11-16 00:00:00,348.36,1973-11
555,1973-11-16 00:00:00,373.69,1973-11
556,1973-11-16 00:00:00,363.99,1973-11
557,1973-11-16 00:00:00,333.97,1973-11
558,1973-11-29 00:00:00,357.49,1973-11
